 I    | PH(0 0), PH(0 1), PH(1 0), PH(1 1)  | PR(0 0), PR(0 1), PR(1 0), PR(1 1)  | AH(0), AH(1)  | AR(0), AR(1)
1183|6.04832,0.245304,0.245304,0.016643 | 8.01477,0.422803,0.422803,0.0330228 | -0.134898,-0.0130868 | -0.729077,-0.0731147
1184|6.04721,0.245206,0.245206,0.0166346 | 8.01722,0.423018,0.423018,0.0330415 | -0.134838,-0.0130869 | -0.7288,-0.0730629
1185|6.04609,0.245107,0.245107,0.0166263 | 8.01971,0.423237,0.423237,0.0330603 | -0.134781,-0.0130872 | -0.728521,-0.0730108
1186|6.04496,0.245009,0.245009,0.016618 | 8.02224,0.423459,0.423459,0.0330795 | -0.134725,-0.0130877 | -0.728241,-0.0729584
1187|6.04383,0.24491,0.24491,0.0166097 | 8.02482,0.423684,0.423684,0.0330989 | -0.134673,-0.0130885 | -0.727959,-0.0729058
1188|6.0427,0.244812,0.244812,0.0166014 | 8.02744,0.423913,0.423913,0.0331185 | -0.134622,-0.0130895 | -0.727676,-0.0728528
1189|6.04156,0.244713,0.244713,0.0165931 | 8.03011,0.424145,0.424145,0.0331385 | -0.134574,-0.0130907 | -0.727391,-0.0727995
1190|6.04042,0.244614,0.244614,0.0165849 | 8.03283,0.424382,0.424382,0.0331586 | -0.134528,-0.0130923 | -0.727104,-0.0727459
1191|6.03927,0.244515,0.244515,0.0165767 | 8.03559,0.424621,0.424621,0.0331791 | -0.134485,-0.013094 | -0.726816,-0.072692
1192|6.03813,0.244417,0.244417,0.0165685 | 8.03841,0.424865,0.424865,0.0331998 | -0.134444,-0.013096 | -0.726525,-0.0726377
1193|6.03698,0.244318,0.244318,0.0165604 | 8.04127,0.425113,0.425113,0.0332208 | -0.134405,-0.0130983 | -0.726233,-0.0725832
1194|6.03583,0.24422,0.24422,0.0165523 | 8.04419,0.425364,0.425364,0.0332421 | -0.134369,-0.0131008 | -0.725939,-0.0725283
1195|6.03468,0.244122,0.244122,0.0165442 | 8.04716,0.425619,0.425619,0.0332637 | -0.134336,-0.0131036 | -0.725643,-0.072473
1196|6.03353,0.244024,0.244024,0.0165362 | 8.05018,0.425879,0.425879,0.0332855 | -0.134305,-0.0131067 | -0.725344,-0.0724174
1197|6.03238,0.243927,0.243927,0.0165283 | 8.05326,0.426142,0.426142,0.0333077 | -0.134277,-0.01311 | -0.725044,-0.0723615
1198|6.03123,0.24383,0.24383,0.0165203 | 8.05639,0.42641,0.42641,0.0333301 | -0.134251,-0.0131136 | -0.724742,-0.0723052
1199|6.03008,0.243733,0.243733,0.0165125 | 8.05958,0.426682,0.426682,0.0333529 | -0.134227,-0.0131174 | -0.724437,-0.0722486
1200|6.02893,0.243636,0.243636,0.0165047 | 8.06283,0.426959,0.426959,0.0333759 | -0.134207,-0.0131215 | -0.724131,-0.0721916
1201|6.02778,0.243541,0.243541,0.016497 | 8.06614,0.427239,0.427239,0.0333993 | -0.134188,-0.0131258 | -0.723822,-0.0721342
1202|6.02664,0.243445,0.243445,0.0164893 | 8.06951,0.427525,0.427525,0.0334229 | -0.134173,-0.0131305 | -0.723511,-0.0720765
1203|6.02551,0.243351,0.243351,0.0164817 | 8.07294,0.427814,0.427814,0.0334469 | -0.13416,-0.0131354 | -0.723197,-0.0720184
1204|6.02437,0.243256,0.243256,0.0164742 | 8.07644,0.428109,0.428109,0.0334712 | -0.13415,-0.0131405 | -0.722881,-0.0719599
1205|6.02324,0.243163,0.243163,0.0164667 | 8.08,0.428408,0.428408,0.0334958 | -0.134142,-0.013146 | -0.722563,-0.0719011
1206|6.02212,0.24307,0.24307,0.0164594 | 8.08363,0.428712,0.428712,0.0335207 | -0.134137,-0.0131517 | -0.722242,-0.0718418
1207|6.02101,0.242978,0.242978,0.0164521 | 8.08733,0.429021,0.429021,0.033546 | -0.134135,-0.0131577 | -0.721919,-0.0717822
1208|6.0199,0.242887,0.242887,0.0164449 | 8.09109,0.429334,0.429334,0.0335716 | -0.134136,-0.013164 | -0.721593,-0.0717221
1209|6.0188,0.242797,0.242797,0.0164379 | 8.09492,0.429653,0.429653,0.0335976 | -0.134139,-0.0131705 | -0.721264,-0.0716617
1210|6.01771,0.242708,0.242708,0.0164309 | 8.09883,0.429977,0.429977,0.0336239 | -0.134145,-0.0131774 | -0.720933,-0.0716009
1211|6.01663,0.24262,0.24262,0.016424 | 8.10281,0.430307,0.430307,0.0336505 | -0.134154,-0.0131845 | -0.720599,-0.0715396
1212|6.01556,0.242533,0.242533,0.0164173 | 8.10687,0.430641,0.430641,0.0336775 | -0.134166,-0.0131919 | -0.720263,-0.071478
1213|6.0145,0.242447,0.242447,0.0164106 | 8.111,0.430981,0.430981,0.0337048 | -0.134181,-0.0131996 | -0.719923,-0.0714159
1214|6.01346,0.242363,0.242363,0.0164041 | 8.11521,0.431326,0.431326,0.0337325 | -0.134198,-0.0132075 | -0.719581,-0.0713534
1215|6.01243,0.242279,0.242279,0.0163977 | 8.1195,0.431677,0.431677,0.0337606 | -0.134219,-0.0132158 | -0.719235,-0.0712905
1216|6.01141,0.242198,0.242198,0.0163914 | 8.12388,0.432034,0.432034,0.0337891 | -0.134242,-0.0132243 | -0.718887,-0.0712272
1217|6.01041,0.242117,0.242117,0.0163853 | 8.12833,0.432397,0.432397,0.0338179 | -0.134268,-0.0132332 | -0.718536,-0.0711634
1218|6.00942,0.242038,0.242038,0.0163793 | 8.13288,0.432765,0.432765,0.0338471 | -0.134298,-0.0132423 | -0.718182,-0.0710992
1219|6.00846,0.241961,0.241961,0.0163734 | 8.13751,0.433139,0.433139,0.0338767 | -0.13433,-0.0132517 | -0.717824,-0.0710345
1220|6.00751,0.241886,0.241886,0.0163677 | 8.14222,0.43352,0.43352,0.0339067 | -0.134365,-0.0132614 | -0.717464,-0.0709694
1221|6.00658,0.241812,0.241812,0.0163622 | 8.14703,0.433906,0.433906,0.033937 | -0.134403,-0.0132714 | -0.7171,-0.0709038
1222|6.00568,0.24174,0.24174,0.0163568 | 8.15193,0.434299,0.434299,0.0339678 | -0.134444,-0.0132818 | -0.716733,-0.0708378
1223|6.0048,0.24167,0.24167,0.0163516 | 8.15693,0.434699,0.434699,0.033999 | -0.134488,-0.0132924 | -0.716363,-0.0707714
1224|6.00394,0.241602,0.241602,0.0163465 | 8.16202,0.435105,0.435105,0.0340306 | -0.134536,-0.0133033 | -0.71599,-0.0707044
1225|6.0031,0.241536,0.241536,0.0163417 | 8.16721,0.435517,0.435517,0.0340626 | -0.134586,-0.0133145 | -0.715613,-0.070637
1226|6.0023,0.241472,0.241472,0.016337 | 8.17251,0.435936,0.435936,0.034095 | -0.13464,-0.013326 | -0.715232,-0.0705692
1227|6.00152,0.241411,0.241411,0.0163325 | 8.1779,0.436362,0.436362,0.0341278 | -0.134696,-0.0133379 | -0.714849,-0.0705008
1228|6.00077,0.241352,0.241352,0.0163282 | 8.1834,0.436795,0.436795,0.0341611 | -0.134756,-0.01335 | -0.714461,-0.070432
1229|6.00005,0.241295,0.241295,0.0163241 | 8.18901,0.437235,0.437235,0.0341948 | -0.134819,-0.0133624 | -0.71407,-0.0703627
1230|5.99936,0.241241,0.241241,0.0163203 | 8.19473,0.437683,0.437683,0.034229 | -0.134886,-0.0133752 | -0.713676,-0.0702929
1231|5.99871,0.24119,0.24119,0.0163166 | 8.20056,0.438137,0.438137,0.0342636 | -0.134955,-0.0133883 | -0.713278,-0.0702226
1232|5.99809,0.241141,0.241141,0.0163132 | 8.2065,0.438599,0.438599,0.0342986 | -0.135028,-0.0134017 | -0.712876,-0.0701518
1233|5.99751,0.241096,0.241096,0.01631 | 8.21256,0.439069,0.439069,0.0343341 | -0.135104,-0.0134154 | -0.712471,-0.0700806
1234|5.99697,0.241053,0.241053,0.016307 | 8.21874,0.439546,0.439546,0.0343701 | -0.135183,-0.0134294 | -0.712061,-0.0700088
1235|5.99647,0.241014,0.241014,0.0163043 | 8.22504,0.440031,0.440031,0.0344065 | -0.135266,-0.0134437 | -0.711648,-0.0699365
1236|5.99601,0.240977,0.240977,0.0163019 | 8.23146,0.440525,0.440525,0.0344435 | -0.135352,-0.0134584 | -0.711231,-0.0698637
1237|5.99559,0.240944,0.240944,0.0162997 | 8.23802,0.441026,0.441026,0.0344809 | -0.135441,-0.0134733 | -0.710811,-0.0697904
1238|5.99522,0.240915,0.240915,0.0162977 | 8.2447,0.441535,0.441535,0.0345187 | -0.135534,-0.0134886 | -0.710386,-0.0697166
1239|5.9949,0.240889,0.240889,0.0162961 | 8.25151,0.442053,0.442053,0.0345571 | -0.13563,-0.0135043 | -0.709957,-0.0696422
1240|5.99463,0.240867,0.240867,0.0162947 | 8.25846,0.44258,0.44258,0.034596 | -0.13573,-0.0135202 | -0.709525,-0.0695674
1241|5.9944,0.240848,0.240848,0.0162936 | 8.26555,0.443115,0.443115,0.0346354 | -0.135833,-0.0135365 | -0.709088,-0.069492
1242|5.99424,0.240834,0.240834,0.0162928 | 8.27277,0.443659,0.443659,0.0346753 | -0.13594,-0.0135531 | -0.708647,-0.0694161
1243|5.99413,0.240823,0.240823,0.0162923 | 8.28014,0.444212,0.444212,0.0347157 | -0.13605,-0.01357 | -0.708202,-0.0693396
1244|5.99407,0.240817,0.240817,0.0162922 | 8.28766,0.444774,0.444774,0.0347566 | -0.136164,-0.0135873 | -0.707753,-0.0692626
1245|5.99408,0.240815,0.240815,0.0162923 | 8.29533,0.445345,0.445345,0.0347981 | -0.136281,-0.0136049 | -0.707299,-0.0691851
